images,congruentcy,corrAns,arrow_1,arrow_2,arrow_3,target,arrow_5,arrow_6,arrow_7,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instr_text.started,instr_text.stopped,instr_resp.keys,instr_resp.rt,polygon.started,polygon.stopped,arrow1_.started,arrow1_.stopped,arrow2_.started,arrow2_.stopped,arrow3_.started,arrow3_.stopped,target_p.started,target_p.stopped,arrow5_.started,arrow5_.stopped,arrow6_.started,arrow6_.stopped,arrow7_.started,arrow7_.stopped,key_resp_P.keys,key_resp_P.corr,key_resp_P.rt,key_resp_P.started,key_resp_P.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,arrow1.started,arrow1.stopped,arrow2.started,arrow2.stopped,arrow3.started,arrow3.stopped,target_t.started,target_t.stopped,arrow5.started,arrow5.stopped,arrow6.started,arrow6.stopped,arrow7.started,arrow7.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,12.39426450000019,None,space,13.717598700000053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1653,Flanker,2021.2.0,239.50202738476438,
neutral right,0,k,neutral.png,neutral.png,neutral.png,right_arrow.png,neutral.png,neutral.png,neutral.png,0,0,0,5,,,,,,,,,,,,,,,,,26.134417400000075,None,27.13964100000021,None,27.13964100000021,None,27.13964100000021,None,27.13964100000021,None,27.13964100000021,None,27.13964100000021,None,27.13964100000021,None,k,1,0.5402439999998023,27.13964100000021,None,27.706893200000195,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1653,Flanker,2021.2.0,239.50202738476438,
neutral left,0,a,neutral.png,neutral.png,neutral.png,left_arrow.png,neutral.png,neutral.png,neutral.png,0,1,1,4,,,,,,,,,,,,,,,,,29.204300700000204,None,30.209555100000216,None,30.209555100000216,None,30.209555100000216,None,30.209555100000216,None,30.209555100000216,None,30.209555100000216,None,30.209555100000216,None,a,1,0.4307117000003018,30.209555100000216,None,30.65214700000024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1653,Flanker,2021.2.0,239.50202738476438,
neutral left,0,a,neutral.png,neutral.png,neutral.png,left_arrow.png,neutral.png,neutral.png,neutral.png,0,2,2,4,,,,,,,,,,,,,,,,,32.15326619999996,None,33.16301130000011,None,33.16301130000011,None,33.16301130000011,None,33.16301130000011,None,33.16301130000011,None,33.16301130000011,None,33.16301130000011,None,a,1,0.3976462000000538,33.16301130000011,None,33.571436000000176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1653,Flanker,2021.2.0,239.50202738476438,
neutral left,0,a,neutral.png,neutral.png,neutral.png,left_arrow.png,neutral.png,neutral.png,neutral.png,0,3,3,4,,,,,,,,,,,,,,,,,35.07331890000023,None,36.08263820000002,None,36.08263820000002,None,36.08263820000002,None,36.08263820000002,None,36.08263820000002,None,36.08263820000002,None,36.08263820000002,None,a,1,0.3666815999999926,36.08263820000002,None,36.466241900000114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1653,Flanker,2021.2.0,239.50202738476438,
neutral right,0,k,neutral.png,neutral.png,neutral.png,right_arrow.png,neutral.png,neutral.png,neutral.png,0,4,4,5,,,,,,,,,,,,,,,,,37.97211520000019,None,38.97730360000014,None,38.97730360000014,None,38.97730360000014,None,38.97730360000014,None,38.97730360000014,None,38.97730360000014,None,38.97730360000014,None,k,1,0.41615779999983715,38.97730360000014,None,39.41097380000019,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1653,Flanker,2021.2.0,239.50202738476438,
incongruent-right.jpg,0,k,left_arrow.png,left_arrow.png,left_arrow.png,right_arrow.png,left_arrow.png,left_arrow.png,left_arrow.png,0,5,5,3,,,,,,,,,,,,,,,,,40.912784699999975,None,41.921947400000136,None,41.921947400000136,None,41.921947400000136,None,41.921947400000136,None,41.921947400000136,None,41.921947400000136,None,41.921947400000136,None,k,1,1.6960771999997633,41.921947400000136,None,43.63232259999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1653,Flanker,2021.2.0,239.50202738476438,
congruent-left.jpg,1,a,left_arrow.png,left_arrow.png,left_arrow.png,left_arrow.png,left_arrow.png,left_arrow.png,left_arrow.png,1,0,6,0,,,,,,,,,,,,,,,,,45.138109800000166,None,46.143324699999994,None,46.143324699999994,None,46.143324699999994,None,46.143324699999994,None,46.143324699999994,None,46.143324699999994,None,46.143324699999994,None,a,1,0.5710920999999871,46.143324699999994,None,46.72730559999991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1653,Flanker,2021.2.0,239.50202738476438,
congruent-right.jpg,1,k,right_arrow.png,right_arrow.png,right_arrow.png,right_arrow.png,right_arrow.png,right_arrow.png,right_arrow.png,1,1,7,2,,,,,,,,,,,,,,,,,48.22893490000024,None,49.242462799999885,None,49.242462799999885,None,49.242462799999885,None,49.242462799999885,None,49.242462799999885,None,49.242462799999885,None,49.242462799999885,None,k,1,0.608533499999794,49.242462799999885,None,49.86820880000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1653,Flanker,2021.2.0,239.50202738476438,
incongruent-right.jpg,0,k,left_arrow.png,left_arrow.png,left_arrow.png,right_arrow.png,left_arrow.png,left_arrow.png,left_arrow.png,1,2,8,3,,,,,,,,,,,,,,,,,51.36971790000007,None,52.37907970000015,None,52.37907970000015,None,52.37907970000015,None,52.37907970000015,None,52.37907970000015,None,52.37907970000015,None,52.37907970000015,None,a,0,1.2322659000001295,52.37907970000015,None,53.62601119999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2022_Aug_07_1653,Flanker,2021.2.0,239.50202738476438,
