images,congruentcy,corrAns,arrow_1,arrow_2,arrow_3,target,arrow_5,arrow_6,arrow_7,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instr_text.started,instr_text.stopped,instr_resp.keys,instr_resp.rt,polygon.started,polygon.stopped,arrow1_.started,arrow1_.stopped,arrow2_.started,arrow2_.stopped,arrow3_.started,arrow3_.stopped,target_p.started,target_p.stopped,arrow5_.started,arrow5_.stopped,arrow6_.started,arrow6_.stopped,arrow7_.started,arrow7_.stopped,key_resp_P.keys,key_resp_P.corr,key_resp_P.rt,key_resp_P.started,key_resp_P.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,arrow1.started,arrow1.stopped,arrow2.started,arrow2.stopped,arrow3.started,arrow3.stopped,target_t.started,target_t.stopped,arrow5.started,arrow5.stopped,arrow6.started,arrow6.stopped,arrow7.started,arrow7.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,text_5.started,text_5.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,9.20358800003305,None,space,13.647523999912664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2022_Sep_23_1137,Flanker,2021.2.0,239.71330316211936,
neutral right,0,k,neutral.png,neutral.png,neutral.png,right_arrow.png,neutral.png,neutral.png,neutral.png,0,0,0,5,,,,,,,,,,,,,,,,,22.885275800013915,None,23.91929200012237,None,23.91929200012237,None,23.91929200012237,None,23.91929200012237,None,23.91929200012237,None,23.91929200012237,None,23.91929200012237,None,k,1,0.6277137999422848,23.91929200012237,None,24.574134499998763,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2022_Sep_23_1137,Flanker,2021.2.0,239.71330316211936,
neutral left,0,a,neutral.png,neutral.png,neutral.png,left_arrow.png,neutral.png,neutral.png,neutral.png,0,1,1,4,,,,,,,,,,,,,,,,,26.071637800196186,None,27.07662510010414,None,27.07662510010414,None,27.07662510010414,None,27.07662510010414,None,27.07662510010414,None,27.07662510010414,None,27.07662510010414,None,a,1,1.3511713000480086,27.07662510010414,None,28.4448005000595,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2022_Sep_23_1137,Flanker,2021.2.0,239.71330316211936,
congruent-left.jpg,1,a,left_arrow.png,left_arrow.png,left_arrow.png,left_arrow.png,left_arrow.png,left_arrow.png,left_arrow.png,0,2,2,0,,,,,,,,,,,,,,,,,29.946500800084323,None,30.9559239000082,None,30.9559239000082,None,30.9559239000082,None,30.9559239000082,None,30.9559239000082,None,30.9559239000082,None,30.9559239000082,None,a,1,1.2480905998963863,30.9559239000082,None,32.21530030015856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2022_Sep_23_1137,Flanker,2021.2.0,239.71330316211936,
neutral left,0,a,neutral.png,neutral.png,neutral.png,left_arrow.png,neutral.png,neutral.png,neutral.png,0,3,3,4,,,,,,,,,,,,,,,,,33.72107180021703,None,34.730459599988535,None,34.730459599988535,None,34.730459599988535,None,34.730459599988535,None,34.730459599988535,None,34.730459599988535,None,34.730459599988535,None,a,1,0.6662753000855446,34.730459599988535,None,35.41452890005894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2022_Sep_23_1137,Flanker,2021.2.0,239.71330316211936,
neutral left,0,a,neutral.png,neutral.png,neutral.png,left_arrow.png,neutral.png,neutral.png,neutral.png,0,4,4,4,,,,,,,,,,,,,,,,,36.91611960018054,None,37.925724800210446,None,37.925724800210446,None,37.925724800210446,None,37.925724800210446,None,37.925724800210446,None,37.925724800210446,None,37.925724800210446,None,a,1,1.5112785999663174,37.925724800210446,None,39.45212520007044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2022_Sep_23_1137,Flanker,2021.2.0,239.71330316211936,
congruent-right.jpg,1,k,right_arrow.png,right_arrow.png,right_arrow.png,right_arrow.png,right_arrow.png,right_arrow.png,right_arrow.png,0,5,5,2,,,,,,,,,,,,,,,,,40.95398290012963,None,41.96311290003359,None,41.96311290003359,None,41.96311290003359,None,41.96311290003359,None,41.96311290003359,None,41.96311290003359,None,41.96311290003359,None,k,1,0.834339699940756,41.96311290003359,None,42.81404720013961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2022_Sep_23_1137,Flanker,2021.2.0,239.71330316211936,
congruent-right.jpg,1,k,right_arrow.png,right_arrow.png,right_arrow.png,right_arrow.png,right_arrow.png,right_arrow.png,right_arrow.png,1,0,6,2,,,,,,,,,,,,,,,,,44.32004490005784,None,45.329177300212905,None,45.329177300212905,None,45.329177300212905,None,45.329177300212905,None,45.329177300212905,None,45.329177300212905,None,45.329177300212905,None,k,1,0.6527052999008447,45.329177300212905,None,45.99654359999113,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2022_Sep_23_1137,Flanker,2021.2.0,239.71330316211936,
neutral right,0,k,neutral.png,neutral.png,neutral.png,right_arrow.png,neutral.png,neutral.png,neutral.png,1,1,7,5,,,,,,,,,,,,,,,,,47.498429500032216,None,48.51198000018485,None,48.51198000018485,None,48.51198000018485,None,48.51198000018485,None,48.51198000018485,None,48.51198000018485,None,48.51198000018485,None,k,1,1.0703357001766562,48.51198000018485,None,49.596194999990985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2022_Sep_23_1137,Flanker,2021.2.0,239.71330316211936,
incongruent-right.jpg,0,k,left_arrow.png,left_arrow.png,left_arrow.png,right_arrow.png,left_arrow.png,left_arrow.png,left_arrow.png,1,2,8,3,,,,,,,,,,,,,,,,,51.10226400010288,None,52.107651700032875,None,52.107651700032875,None,52.107651700032875,None,52.107651700032875,None,52.107651700032875,None,52.107651700032875,None,52.107651700032875,None,k,1,2.515320200007409,52.107651700032875,None,54.63486970006488,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2022_Sep_23_1137,Flanker,2021.2.0,239.71330316211936,
