images,congruentcy,corrAns,box_pos,box_color,box_x,pract.thisRepN,pract.thisTrialN,pract.thisN,pract.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_instr.keys,key_resp_instr.rt,FixCross.started,FixCross.stopped,Box_p.started,Box_p.stopped,key_resp_P.keys,key_resp_P.corr,key_resp_P.rt,key_resp_P.started,key_resp_P.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,Box.started,Box.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,11.155060199991567,,,,,,,,,,,,,,,,,,,,,,,,,11,001,2022_Oct_07_1810,Version4,2021.2.0,239.6989381294554,
red_incongruent,0,k,left,red,-0.6,0,0,0,3,,,,,,,,,,,,,,,20.307930000009947,None,21.425608100005775,None,k,1,2.9683648999925936,21.425608100005775,None,,,,,,,,,,,,,,,,11,001,2022_Oct_07_1810,Version4,2021.2.0,239.6989381294554,
red_neutral,0,k,middle,red,0,0,1,1,4,,,,,,,,,,,,,,,25.41307070000039,None,26.455777499999385,None,k,1,0.6663785999990068,26.455777499999385,None,,,,,,,,,,,,,,,,11,001,2022_Oct_07_1810,Version4,2021.2.0,239.6989381294554,
blue_congruent,1,a,left,blue,-0.6,0,2,2,0,,,,,,,,,,,,,,,28.136866500004544,None,29.283762300008675,None,a,1,0.6307423999969615,29.283762300008675,None,,,,,,,,,,,,,,,,11,001,2022_Oct_07_1810,Version4,2021.2.0,239.6989381294554,
blue_neutral,0,a,middle,blue,0,0,3,3,5,,,,,,,,,,,,,,,30.931663800001843,None,32.04510329999903,None,a,1,0.5657921999954851,32.04510329999903,None,,,,,,,,,,,,,,,,11,001,2022_Oct_07_1810,Version4,2021.2.0,239.6989381294554,
blue_incongruent,0,a,right,blue,0.6,0,4,4,2,,,,,,,,,,,,,,,33.62613980000606,None,34.77708480000729,None,a,1,0.5541804999957094,34.77708480000729,None,,,,,,,,,,,,,,,,11,001,2022_Oct_07_1810,Version4,2021.2.0,239.6989381294554,
blue_incongruent,0,a,right,blue,0.6,0,5,5,2,,,,,,,,,,,,,,,36.34575659999973,None,37.4591814000014,None,a,1,0.4644243000075221,37.4591814000014,None,,,,,,,,,,,,,,,,11,001,2022_Oct_07_1810,Version4,2021.2.0,239.6989381294554,
red_incongruent,0,k,left,red,-0.6,1,0,6,3,,,,,,,,,,,,,,,38.939823200009414,None,39.995103000008385,None,k,1,0.48884229999384843,39.995103000008385,None,,,,,,,,,,,,,,,,11,001,2022_Oct_07_1810,Version4,2021.2.0,239.6989381294554,
red_congruent,1,k,right,red,0.6,1,1,7,1,,,,,,,,,,,,,,,41.50086949999968,None,42.53530820000742,None,k,1,0.34907949999615084,42.53530820000742,None,,,,,,,,,,,,,,,,11,001,2022_Oct_07_1810,Version4,2021.2.0,239.6989381294554,
red_congruent,1,k,right,red,0.6,1,2,8,1,,,,,,,,,,,,,,,43.90344439999899,None,45.129870900011156,None,k,1,0.3069658000022173,45.129870900011156,None,,,,,,,,,,,,,,,,11,001,2022_Oct_07_1810,Version4,2021.2.0,239.6989381294554,
red_congruent,1,k,right,red,0.6,1,3,9,1,,,,,,,,,,,,,,,46.4604216000007,None,47.60332680000283,None,k,1,0.3136252000113018,47.60332680000283,None,,,,,,,,,,,,,,,,11,001,2022_Oct_07_1810,Version4,2021.2.0,239.6989381294554,
red_incongruent,0,k,left,red,-0.6,1,4,10,3,,,,,,,,,,,,,,,48.92978660001245,None,50.04341070000373,None,a,0,0.33792089999769814,50.04341070000373,None,,,,,,,,,,,,,,,,11,001,2022_Oct_07_1810,Version4,2021.2.0,239.6989381294554,
red_neutral,0,k,middle,red,0,1,5,11,4,,,,,,,,,,,,,,,51.39901040001132,None,52.529266800003825,None,k,1,0.34882159999688156,52.529266800003825,None,,,,,,,,,,,,,,,,11,001,2022_Oct_07_1810,Version4,2021.2.0,239.6989381294554,
red_incongruent,0,k,left,red,-0.6,2,0,12,3,,,,,,,,,,,,,,,53.89733920000435,None,54.940196900002775,None,a,0,0.6177893999993103,54.940196900002775,None,,,,,,,,,,,,,,,,11,001,2022_Oct_07_1810,Version4,2021.2.0,239.6989381294554,
red_neutral,0,k,middle,red,0,2,1,13,4,,,,,,,,,,,,,,,56.57944500001031,None,57.73059150000336,None,k,1,1.4598900999990292,57.73059150000336,None,,,,,,,,,,,,,,,,11,001,2022_Oct_07_1810,Version4,2021.2.0,239.6989381294554,
blue_neutral,0,a,middle,blue,0,2,2,14,5,,,,,,,,,,,,,,,60.212518900007126,None,61.4430621000065,None,a,1,0.5477916999952868,61.4430621000065,None,,,,,,,,,,,,,,,,11,001,2022_Oct_07_1810,Version4,2021.2.0,239.6989381294554,
blue_incongruent,0,a,right,blue,0.6,2,3,15,2,,,,,,,,,,,,,,,63.011161600006744,None,64.14572490000864,None,a,1,0.5736662999988766,64.14572490000864,None,,,,,,,,,,,,,,,,11,001,2022_Oct_07_1810,Version4,2021.2.0,239.6989381294554,
