images,congruentcy,corrAns,box_pos,box_color,box_x,pract.thisRepN,pract.thisTrialN,pract.thisN,pract.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_instr.keys,key_resp_instr.rt,FixCross.started,FixCross.stopped,Box_p.started,Box_p.stopped,key_resp_P.keys,key_resp_P.corr,key_resp_P.rt,key_resp_P.started,key_resp_P.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,Box.started,Box.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,space,11.327244299987797,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022_Aug_05_1545,Version4,2021.2.0,239.67997931024254,
red_neutral,0,k,middle,red,0,0,0,0,4,,,,,,,,,,,,,,,19.75943700002972,None,20.872761100006755,None,k,1,0.6253487000358291,20.872761100006755,None,,,,,,,,,,,,,,,,1,001,2022_Aug_05_1545,Version4,2021.2.0,239.67997931024254,
red_congruent,1,k,right,red,0.6,0,1,1,1,,,,,,,,,,,,,,,22.516434300050605,None,23.52975340001285,None,a,0,2.920665599987842,23.52975340001285,None,,,,,,,,,,,,,,,,1,001,2022_Aug_05_1545,Version4,2021.2.0,239.67997931024254,
blue_congruent,1,a,left,blue,-0.6,0,2,2,0,,,,,,,,,,,,,,,27.46749800001271,None,28.510034100036137,None,a,1,0.4847600999637507,28.510034100036137,None,,,,,,,,,,,,,,,,1,001,2022_Aug_05_1545,Version4,2021.2.0,239.67997931024254,
red_neutral,0,k,middle,red,0,0,3,3,4,,,,,,,,,,,,,,,30.011841500003356,None,31.22541640000418,None,k,1,0.3939632000401616,31.22541640000418,None,,,,,,,,,,,,,,,,1,001,2022_Aug_05_1545,Version4,2021.2.0,239.67997931024254,
blue_incongruent,0,a,right,blue,0.6,0,4,4,2,,,,,,,,,,,,,,,32.6354554000427,None,33.73641320003662,None,a,1,0.5710675999871455,33.73641320003662,None,,,,,,,,,,,,,,,,1,001,2022_Aug_05_1545,Version4,2021.2.0,239.67997931024254,
blue_incongruent,0,a,right,blue,0.6,0,5,5,2,,,,,,,,,,,,,,,35.32161090004956,None,36.43935410003178,None,a,1,0.42850119998911396,36.43935410003178,None,,,,,,,,,,,,,,,,1,001,2022_Aug_05_1545,Version4,2021.2.0,239.67997931024254,
red_neutral,0,k,middle,red,0,1,0,6,4,,,,,,,,,,,,,,,37.886905600025784,None,38.96696210000664,None,k,1,0.37324009998701513,38.96696210000664,None,,,,,,,,,,,,,,,,1,001,2022_Aug_05_1545,Version4,2021.2.0,239.67997931024254,
red_congruent,1,k,right,red,0.6,1,1,7,1,,,,,,,,,,,,,,,40.36029250000138,None,41.43636010005139,None,k,1,0.3842369000194594,41.43636010005139,None,,,,,,,,,,,,,,,,1,001,2022_Aug_05_1545,Version4,2021.2.0,239.67997931024254,
red_congruent,1,k,right,red,0.6,1,2,8,1,,,,,,,,,,,,,,,42.837709000043105,None,43.855610300030094,None,k,1,0.3253338999929838,43.855610300030094,None,,,,,,,,,,,,,,,,1,001,2022_Aug_05_1545,Version4,2021.2.0,239.67997931024254,
