"","sub","item","cond","boundaryN","wordN","word","trial_type"
"1",1,151,"identical",7,1,"Az","exp_2"
"2",1,151,"identical",7,2,"?nce","exp_2"
"3",1,151,"identical",7,3,"yedi?im","exp_2"
"4",1,151,"identical",7,4,"yemek","exp_2"
"5",1,151,"identical",7,5,"y?z?nden","exp_2"
"6",1,151,"identical",7,6,"midem","exp_2"
"7",1,151,"identical",7,7,"?ok","exp_2"
"8",1,151,"identical",7,8,"a?r?yor","exp_2"
"9",1,151,"identical",7,9,"ama","exp_2"
"10",1,151,"identical",7,10,"yine","exp_2"
"11",1,151,"identical",7,11,"de","exp_2"
"12",1,151,"identical",7,12,"iyi","exp_2"
"13",1,151,"identical",7,13,"ki","exp_2"
"14",1,151,"identical",7,14,"yemi?im.","exp_2"
"15",1,105,"identical",5,1,"Kahvalt?da","exp_2"
"16",1,105,"identical",5,2,"m?s?r","exp_2"
"17",1,105,"identical",5,3,"gevre?i","exp_2"
"18",1,105,"identical",5,4,"yemeyi","exp_2"
"19",1,105,"identical",5,5,"hi?","exp_2"
"20",1,105,"identical",5,6,"sevmem","exp_2"
"21",1,105,"identical",5,7,"ama","exp_2"
"22",1,105,"identical",5,8,"evde","exp_2"
"23",1,105,"identical",5,9,"sadece","exp_2"
"24",1,105,"identical",5,10,"o","exp_2"
"25",1,105,"identical",5,11,"kalm??.","exp_2"
"26",1,127,"identical",5,1,"Evdeki","exp_2"
"27",1,127,"identical",5,2,"eski","exp_2"
"28",1,127,"identical",5,3,"elektrik","exp_2"
"29",1,127,"identical",5,4,"s?p?rgesinin","exp_2"
"30",1,127,"identical",5,5,"ucu","exp_2"
"31",1,127,"identical",5,6,"bozulmu?","exp_2"
"32",1,127,"identical",5,7,"ama","exp_2"
"33",1,127,"identical",5,8,"yine","exp_2"
"34",1,127,"identical",5,9,"de","exp_2"
"35",1,127,"identical",5,10,"temizliyor.","exp_2"
"36",1,82,"ben",6,1,"Her","exp_2"
"37",1,82,"ben",6,2,"g?n","exp_2"
"38",1,82,"ben",6,3,"okula","exp_2"
"39",1,82,"ben",6,4,"gitmeden","exp_2"
"40",1,82,"ben",6,5,"mutlaka","exp_2"
"41",1,82,"ben",6,6,"s?t","exp_2"
"42",1,82,"ben",6,7,"i?er","exp_2"
"43",1,82,"ben",6,8,"ve","exp_2"
"44",1,82,"ben",6,9,"d?zenli","exp_2"
"45",1,82,"ben",6,10,"olarak","exp_2"
"46",1,82,"ben",6,11,"spor","exp_2"
"47",1,82,"ben",6,12,"yapar.","exp_2"
