"","sub","item","cond","seq","trial_type","trial_start","trial_end","target_word_n","target_word","target_changed","Dis_on_t","Dis_off_t","boundary","DC_start_t","DC_end_t","boundary_t","boundarycond","Display_time","Display_lat","sacc_start_t","sacc_end_t","sacc_dur","sacc_start_x","sacc_end_x","sacc_ampl","peak_vel","avg_vel","blink","blink_dur","fix_start_t","fix_end_t","fix_dur","question","corrAns","key_resp","RT_q","accuracy","corr_sacc","jhook"
"1",3,2,"ben",1,"practice",3087802,3092274,6,"aya","bir",3088288,3090673,"759",3089337,3089343,3089335,"sacc",5.709,2,3089316,3089350,34,663.5,837,4.28545,226.004999999999,120.959428571429,"NO",NA,3089351,3089634,283,"Yes","LEFT","left",1258.74,1,"Yes",NA
"2",3,5,"identical",2,"practice",3094155,3096736,5,"i?e","identical",3094503,3096434,"460",3095283,3095291,3095285,"identical",7.732,-2,3095469,3095490,21,459.2,534,1.84756,124.735,80.9486363636364,"NO",NA,3095491,3095687,196,"No",NA,NA,NA,NA,NA,NA
"3",3,4,"ben",3,"practice",3098610,3101421,5,"eve","bir",3099116,3101122,"472",3099956,3099963,3099955,"sacc",6.56,1,3099936,3099958,22,397.1,481.6,2.08715,143.26,89.510652173913,"NO",NA,3099959,3100259,300,"No",NA,NA,NA,NA,"Yes",NA
"4",3,9,"identical",4,"practice",3103311,3106767,7,"?ok","identical",3103880,3105844,"605",3104945,3104951,3104942,"identical",6.173,3,3104931,3104960,29,567.8,692.2,3.07268,206.245000000001,101.846333333333,"NO",NA,3104961,3105175,214,"Yes","RIGHT","left",610.487,0,NA,NA
"5",3,10,"ben",5,"practice",3109902,3112551,5,"ta?","ben",3110461,3112251,"472",3111091,3111100,3111089,"sacc",8.509,2,3111061,3111093,32,309.7,481,4.23111,240.825,127.766363636364,"NO",NA,3111094,3111384,290,"No",NA,NA,NA,NA,"Yes",NA
"6",3,1,"identical",6,"practice",3114427,3117561,6,"ak?","identical",3115442,3117256,"582",3116301,3116310,3116299,"identical",8.325,2,3116276,3116315,39,409.1,675.1,6.5702,375.44,164.008,"NO",NA,3116316,3116604,288,"No",NA,NA,NA,NA,NA,NA
"7",3,7,"identical",7,"practice",3119430,3122749,4,"kez","identical",3120443,3122448,"424",3121270,3121277,3121268,"identical",7.23,2,3121259,3121279,20,396.2,471.5,1.85991,140.79,86.0383333333333,"NO",NA,3121280,3121471,191,"No",NA,NA,NA,NA,NA,NA
"8",3,3,"identical",8,"practice",3126082,3129091,3,"hi?","identical",3126692,3128783,"341",3127380,3127388,3127378,"identical",7.99,2,3127369,3127391,22,310.8,405.6,2.34156,193.895,99.4980434782609,"NO",NA,3127392,3127644,252,"No",NA,NA,NA,NA,NA,NA
"9",3,8,"ben",9,"practice",3131194,3134685,9,"ara","ben",3131584,3134384,"820",3133005,3133011,3133004,"sacc",5.466,1,3132986,3133010,24,739.4,842.7,2.55151,175.369999999999,100.282,"NO",NA,3133011,3133399,388,"No",NA,NA,NA,NA,"Yes",NA
"10",3,6,"ben",10,"practice",3136619,3140857,7,"g?l","ben",3137579,3139747,"546",3138590,3138596,3138588,"sacc",5.865,2,3138570,3138591,21,471.1,549.7,1.94142,156.845000000001,87.0113636363637,"NO",NA,3138592,3138972,380,"Yes","RIGHT","left",792.5,0,"Yes",NA
