"","sub","item","boundaryN","wordN","word","trial_type"
"1",3,47,7,1,"Annem","exp_1"
"2",3,47,7,2,"restorana","exp_1"
"3",3,47,7,3,"k?pe?i","exp_1"
"4",3,47,7,4,"ile","exp_1"
"5",3,47,7,5,"geldi","exp_1"
"6",3,47,7,6,"ve","exp_1"
"7",3,47,7,7,"yan","exp_1"
"8",3,47,7,8,"masadaki","exp_1"
"9",3,47,7,9,"insanlar?n","exp_1"
"10",3,47,7,10,"tepkisini","exp_1"
"11",3,47,7,11,"?ekti.","exp_1"
"12",3,38,7,1,"Bug?n","exp_1"
"13",3,38,7,2,"yap?lan","exp_1"
"14",3,38,7,3,"i?","exp_1"
"15",3,38,7,4,"g?r??mesinde","exp_1"
"16",3,38,7,5,"baz?","exp_1"
"17",3,38,7,6,"adaylar","exp_1"
"18",3,38,7,7,"i?e","exp_1"
"19",3,38,7,8,"al?nd?","exp_1"
"20",3,38,7,9,"lakin","exp_1"
"21",3,38,7,10,"baz?lar?","exp_1"
"22",3,38,7,11,"al?nmad?.","exp_1"
"23",3,44,5,1,"Resim","exp_1"
"24",3,44,5,2,"sergisinden","exp_1"
"25",3,44,5,3,"ald???m","exp_1"
"26",3,44,5,4,"tablo","exp_1"
"27",3,44,5,5,"eve","exp_1"
"28",3,44,5,6,"getirilince","exp_1"
"29",3,44,5,7,"sergideki","exp_1"
"30",3,44,5,8,"gibi","exp_1"
"31",3,44,5,9,"g?zel","exp_1"
"32",3,44,5,10,"durmad?.","exp_1"
"33",3,7,6,1,"?ok","exp_1"
"34",3,7,6,2,"gen?","exp_1"
"35",3,7,6,3,"ya?ta","exp_1"
"36",3,7,6,4,"dolu","exp_1"
"37",3,7,6,5,"dizgin","exp_1"
"38",3,7,6,6,"a?k","exp_1"
"39",3,7,6,7,"ya?ad?","exp_1"
"40",3,7,6,8,"haliyle","exp_1"
"41",3,7,6,9,"kalbi","exp_1"
"42",3,7,6,10,"k?r?ld?.","exp_1"
"43",3,60,4,1,"Restorandaki","exp_1"
"44",3,60,4,2,"t?m","exp_1"
"45",3,60,4,3,"yemeklere","exp_1"
"46",3,60,4,4,"ac?","exp_1"
"47",3,60,4,5,"koymu?lar","exp_1"
"48",3,60,4,6,"bu","exp_1"
"49",3,60,4,7,"y?zden","exp_1"
"50",3,60,4,8,"hi?birini","exp_1"
"51",3,60,4,9,"yiyemedim.","exp_1"
"52",3,31,4,1,"Bug?n","exp_1"
"53",3,31,4,2,"okula","exp_1"
"54",3,31,4,3,"giderken","exp_1"
"55",3,31,4,4,"kar","exp_1"
"56",3,31,4,5,"ya??yordu","exp_1"
"57",3,31,4,6,"bu","exp_1"
"58",3,31,4,7,"sebeple","exp_1"
"59",3,31,4,8,"hasta","exp_1"
"60",3,31,4,9,"oldum.","exp_1"
"61",3,74,5,1,"?devimi","exp_1"
"62",3,74,5,2,"bug?n","exp_1"
"63",3,74,5,3,"bitirebilirsem","exp_1"
"64",3,74,5,4,"arkada?lar?m","exp_1"
"65",3,74,5,5,"ile","exp_1"
"66",3,74,5,6,"??kabilirim","exp_1"
"67",3,74,5,7,"bu","exp_1"
"68",3,74,5,8,"y?zden","exp_1"
"69",3,74,5,9,"sabahtan","exp_1"
"70",3,74,5,10,"beri","exp_1"
"71",3,74,5,11,"u?ra??yorum.","exp_1"
"72",3,12,3,1,"Babam","exp_1"
